Egonet,Node,DegreeCentrality,EigenvectorCentrality,Gender
aaaaa,0,0.19117647058823528,0.2979938112726552,1
aaaaa,65,0.38235294117647056,0.4959101889214324,0
aaaaa,96,2,1,0
aaaaa,114,0.4117647058823529,0.5613564233643662,0
aaaaa,28,0.6470588235294118,0.7111637130967622,0
aaaaa,55,0.3088235294117647,0.4079271596411463,1
aaaaa,36,0.20588235294117646,0.27075812352407475,1
aaaaa,59,0.8970588235294118,0.7971299266415344,0
aaaaa,60,0.3088235294117647,0.4080530866249979,0
aaaaa,85,0.6029411764705882,0.655971795724682,1
aaaaa,47,0.9264705882352942,0.8064269300721476,1
aaaaa,92,0.29411764705882354,0.38631823743391075,0
aaaaa,50,0.2647058823529412,0.32473658991957727,1
aaaaa,77,0.6470588235294118,0.6901495676861521,1
aaaaa,1,0.11764705882352941,0.19467119786238754,0
aaaaa,27,0.4411764705882353,0.5620972055732215,0
aaaaa,90,0.22058823529411764,0.28053888358850376,0
aaaaa,63,0.20588235294117646,0.3167369279289743,0
aaaaa,69,0.4852941176470588,0.5862943712495533,0
aaaaa,2,0.08823529411764706,0.08222342773788247,0
aaaaa,43,0.08823529411764706,0.0822234277378824,1
aaaaa,13,0.07352941176470588,0.05146921138744199,0
aaaaa,21,0.08823529411764706,0.0822234277378824,0
aaaaa,32,0.07352941176470588,0.05146921138744199,0
aaaaa,3,0.08823529411764706,0.09615992115746819,0
aaaaa,66,0.16176470588235295,0.14681070662709228,1
aaaaa,83,0.19117647058823528,0.2117703873086366,0
aaaaa,109,0.10294117647058823,0.12655958330807518,0
aaaaa,40,0.11764705882352941,0.13374624706910782,0
aaaaa,4,0.07352941176470588,0.04759091038422249,1
aaaaa,25,0.08823529411764706,0.04934783786695404,1
aaaaa,61,0.058823529411764705,0.04537882036907316,1
aaaaa,15,0.10294117647058823,0.058004695669464895,1
aaaaa,94,0.07352941176470588,0.04759091038422249,1
aaaaa,5,0.029411764705882353,0.07125340571618229,1
aaaaa,6,0.11764705882352941,0.05508852797726718,0
aaaaa,64,0.17647058823529413,0.06338226200991891,0
aaaaa,125,0.08823529411764706,0.0502078663311749,0
aaaaa,44,0.11764705882352941,0.05437691622902428,0
aaaaa,100,0.11764705882352941,0.05437691622902435,1
aaaaa,135,0.10294117647058823,0.05262503734313375,1
aaaaa,111,0.1323529411764706,0.057227853605166024,1
aaaaa,102,0.1323529411764706,0.057227853605165975,0
aaaaa,7,0.07352941176470588,0.10742465937335198,0
aaaaa,130,0.19117647058823528,0.21441047054481846,0
aaaaa,8,0.3088235294117647,0.4256922863573529,0
aaaaa,79,0.29411764705882354,0.44521771549354683,1
aaaaa,18,0.11764705882352941,0.17593696119612115,1
aaaaa,58,0.2647058823529412,0.374608223254095,0
aaaaa,99,0.27941176470588236,0.3701894021321507,0
aaaaa,22,0.17647058823529413,0.26210302862855783,1
aaaaa,81,0.25,0.38250165265983316,1
aaaaa,89,0.39705882352941174,0.5077385682916782,0
aaaaa,76,0.25,0.3227495085682275,0
aaaaa,34,0.3235294117647059,0.44688094619881213,0
aaaaa,14,0.23529411764705882,0.34760787357127526,1
aaaaa,120,0.35294117647058826,0.45978867781566796,0
aaaaa,9,0.20588235294117646,0.2961931264478385,0
aaaaa,95,0.08823529411764706,0.14183417710831356,0
aaaaa,39,0.5147058823529411,0.6181154565850157,1
aaaaa,10,0.10294117647058823,0.053179317934370834,0
aaaaa,123,0.11764705882352941,0.05512697571448273,0
aaaaa,70,0.10294117647058823,0.053179317934370814,0
aaaaa,101,0.11764705882352941,0.05512697571448273,0
aaaaa,11,0.014705882352941176,0.03964844425541354,1
aaaaa,12,0.10294117647058823,0.10170966027294294,0
aaaaa,41,0.04411764705882353,0.04685082709545911,1
aaaaa,49,0.07352941176470588,0.08203858526513638,0
aaaaa,97,0.25,0.35272216454094113,0
aaaaa,16,0.04411764705882353,0.0854041288364769,1
aaaaa,72,0.10294117647058823,0.05255130093855983,0
aaaaa,117,0.07352941176470588,0.048853518128089836,1
aaaaa,116,0.16176470588235295,0.18844632970748346,0
aaaaa,33,0.07352941176470588,0.07794235669724071,1
aaaaa,17,0.029411764705882353,0.04169124979649609,1
aaaaa,29,0.11764705882352941,0.05152296841517601,0
aaaaa,19,0.029411764705882353,0.04574482186294457,0
aaaaa,112,0.1323529411764706,0.15376082774543268,0
aaaaa,20,0.04411764705882353,0.05179462268854176,0
aaaaa,73,0.1323529411764706,0.15953620461318477,0
aaaaa,23,0.014705882352941176,0.039648444255413556,1
aaaaa,24,0.058823529411764705,0.047614204863752535,0
aaaaa,118,0.058823529411764705,0.05799437069474779,0
aaaaa,62,0.10294117647058823,0.09036411834543483,0
aaaaa,26,0.08823529411764706,0.04985886732638222,0
aaaaa,115,0.058823529411764705,0.045937191041017206,1
aaaaa,104,0.3382352941176471,0.44710021862427585,1
aaaaa,106,0.23529411764705882,0.35854405358044955,1
aaaaa,74,0.2647058823529412,0.3890916000897107,0
aaaaa,110,0.1323529411764706,0.20898749466272631,0
aaaaa,113,0.1323529411764706,0.22604636769317063,1
aaaaa,82,0.2647058823529412,0.4029348591062119,1
aaaaa,119,0.3382352941176471,0.43961299829348066,0
aaaaa,53,0.14705882352941177,0.24033047676983713,1
aaaaa,103,0.16176470588235295,0.2552995100298233,0
aaaaa,37,0.08823529411764706,0.1435342358943213,0
aaaaa,38,0.14705882352941177,0.25133013576943214,0
aaaaa,108,0.11764705882352941,0.20060826911506896,0
aaaaa,75,0.2647058823529412,0.362680659027092,1
aaaaa,57,0.10294117647058823,0.15740938627199494,1
aaaaa,91,0.10294117647058823,0.18136739001287885,1
aaaaa,131,0.08823529411764706,0.16537968482021084,0
aaaaa,67,0.14705882352941177,0.23376062541638298,1
aaaaa,98,0.029411764705882353,0.04169124979649608,0
aaaaa,132,0.029411764705882353,0.041691249796496056,1
aaaaa,127,0.029411764705882353,0.04169124979649608,0
aaaaa,56,0.029411764705882353,0.04169124979649607,0
aaaaa,78,0.029411764705882353,0.04169124979649606,1
aaaaa,30,0.10294117647058823,0.08333078170606387,0
aaaaa,80,0.029411764705882353,0.04295238010864644,0
aaaaa,88,0.058823529411764705,0.04930046744428639,0
aaaaa,124,0.07352941176470588,0.08005468379472688,0
aaaaa,121,0.07352941176470588,0.0800546837947269,0
aaaaa,31,0.029411764705882353,0.04295238010864643,1
aaaaa,35,0.014705882352941176,0.03964844425541353,0
aaaaa,51,0.04411764705882353,0.06578697038247451,1
aaaaa,126,0.07352941176470588,0.07994646710618294,0
aaaaa,42,0.07352941176470588,0.04680353083792815,1
aaaaa,54,0.058823529411764705,0.045149943645963864,0
aaaaa,133,0.04411764705882353,0.04335981862218177,1
aaaaa,68,0.07352941176470588,0.04680353083792817,1
aaaaa,134,0.058823529411764705,0.04514994364596385,0
aaaaa,45,0.058823529411764705,0.05630900393786291,0
aaaaa,87,0.058823529411764705,0.052035849690709735,1
aaaaa,46,0.08823529411764706,0.12973203930096242,0
aaaaa,52,0.10294117647058823,0.13124112752703862,0
aaaaa,86,0.029411764705882353,0.07162201743844332,1
aaaaa,48,0.08823529411764706,0.05107084071170896,0
aaaaa,105,0.058823529411764705,0.08261451051340055,1
aaaaa,136,0.04411764705882353,0.08657032281793028,0
aaaaa,71,0.029411764705882353,0.04128534391207708,1
aaaaa,128,0.029411764705882353,0.04128534391207711,0
aaaaa,93,0.04411764705882353,0.043668987571407886,0
aaaaa,84,0.029411764705882353,0.041711584741158714,0
aaaaa,107,0.014705882352941176,0.03964844425541355,1
aaaaa,122,0.014705882352941176,0.03964844425541354,1
aaaaa,129,0.014705882352941176,0.03964844425541355,1
aaaab,0,0.21428571428571427,0.24658672896426692,0
aaaab,7,1.3571428571428572,0.9032391315690027,0
aaaab,11,2,1,0
aaaab,4,0.6428571428571429,0.5466292070564711,0
aaaab,1,0.2857142857142857,0.3042035684881534,0
aaaab,22,1,0.7648673463818413,0
aaaab,6,0.35714285714285715,0.3541919809577411,1
aaaab,2,0.21428571428571427,0.1260220647566865,0
aaaab,14,0.21428571428571427,0.12602206475668654,0
aaaab,19,0.21428571428571427,0.1260220647566865,1
aaaab,3,0.21428571428571427,0.12602206475668648,0
aaaab,23,0.21428571428571427,0.12602206475668654,0
aaaab,27,0.21428571428571427,0.12602206475668656,0
aaaab,12,0.42857142857142855,0.42839508879400057,0
aaaab,20,0.8571428571428571,0.6921253676410767,0
aaaab,15,0.5714285714285714,0.5497313230064143,1
aaaab,28,0.5,0.49168890462322484,1
